UNITID,Year,INTUTIONFEE,OUTTUTIONFEE,BOOKSUPPLY,ONCAMROOM,ONCAMOTHEXP,OFFCAMROOM,OFFCAMOTHEXP
138600,2016,38472,38472,1000,11520,1000,2500,1000
138716,2016,5490,15738,1250,7500,3270,10622,3860
138868,2016,19200,19200,2000,7700,1500,6000,6000
138947,2016,22396,22396,1500,10800,3065,.,.
139144,2016,33556,33556,1000,11730,2198,9286,4038
139153,2016,9510,9510,1000,6000,1000,10200,2000
139199,2016,27152,27152,1300,12418,2600,9684,4500
139311,2016,5340,15596,1222,10156,2500,11750,2500
139366,2016,6031,16605,1270,10198,3590,9030,4460
139393,2016,32230,32230,1170,9630,1670,4580,1670
139658,2016,47954,47954,1224,13486,2416,13486,2416
139719,2016,5594,5594,1500,7950,5000,8000,500
139755,2016,12212,32404,800,11148,3260,13640,3260
139764,2016,5262,15518,1400,7672,6004,7672,6004
139861,2016,9202,27550,1500,11946,4683,13150,5303
139931,2016,6273,16847,1200,9800,5654,9800,5654
139940,2016,8974,23542,1600,14084,2430,9828,4400
139959,2016,11634,29844,1006,9616,3952,8032,3952
140234,2016,28490,28490,1000,11440,3000,12540,3000
140252,2016,11220,11220,2400,14400,9600,14400,9600
140447,2016,35130,35130,1200,11106,2846,11106,2846
140818,2016,23112,23112,1400,9400,2890,8540,2890
140872,2016,21644,21644,1300,7948,5760,8000,5760
140951,2016,35690,35690,2025,13905,3726,10506,3726
140960,2016,5644,15900,1600,7432,2196,7526,2326
140988,2016,21730,21730,1200,9400,2160,10450,6501
141167,2016,17940,17940,2000,7200,4104,12636,6144
141237,2016,18510,18510,1600,7220,3500,7220,3500
141264,2016,7342,20560,1200,8388,4994,9306,4994
141325,2016,21750,21750,1240,9290,2000,9960,2000
141334,2016,6143,16717,1500,8648,6195,6849,6195
141361,2016,29012,29012,0,10464,2979,3596,2368
141486,2016,23310,23310,1600,12690,2245,12478,2245
141565,2016,7650,20610,952,10418,3268,13806,6130
141574,2016,11732,33764,952,13030,2899,13030,2899
141644,2016,23440,23440,1200,13898,2220,17362,2220
142115,2016,7080,21530,1200,7780,3364,8974,4030
142276,2016,6956,21023,1000,6663,5921,8280,5921
142285,2016,7232,22040,1214,8354,3840,10018,5086
142294,2016,27425,27425,1200,9193,2700,6500,2700
142461,2016,28650,28650,1200,6800,2510,8350,3440
143048,2016,45750,45750,1770,13640,2010,9520,2010
143118,2016,22830,22830,1000,9366,2872,3858,3520
143358,2016,32120,32120,1200,10010,2240,10010,2240
144005,2016,10252,17212,1800,8724,4115,8724,4115
144050,2016,53649,53649,1800,15093,2175,.,.
144281,2016,25334,25334,1600,13298,2936,13298,2936
144351,2016,30640,30640,1200,9172,1400,5850,1700
144740,2016,37626,37626,1104,13387,2364,13387,2364
144892,2016,11580,13740,150,9546,2067,9546,2067
144962,2016,35500,35500,1000,10078,1922,5000,3500
145336,2016,8428,14956,1000,9868,3100,10868,3100
145372,2016,25720,25720,1100,9016,2892,6378,5544
145600,2016,13664,26520,1400,11342,3628,10882,3628
145619,2016,32170,32170,1510,9200,2550,10260,4230
145637,2016,15058,30680,1200,11306,2500,.,.
145725,2016,45214,45214,1200,12818,4195,10800,6335
145813,2016,14061,25168,942,9850,3344,8082,5538
146339,2016,28730,28730,1270,9650,2250,9500,3000
146481,2016,44116,44116,1000,9810,2074,9810,2074
146612,2016,30050,30050,1500,10320,2230,7000,2504
146667,2016,13020,13020,1000,7564,4315,6378,4650
146676,2016,17700,17700,1240,7100,5514,6078,5514
146719,2016,42032,42032,1200,13770,1600,11500,1600
147013,2016,28740,28740,1000,9200,2550,7500,3250
147129,2016,20710,20710,3000,13000,4000,8000,4250
147244,2016,31824,31824,1000,11190,2100,11190,2100
147369,2016,11854,11854,932,10180,4502,8226,4594
147660,2016,36654,36654,1200,11658,1629,8565,6261
147679,2016,27210,27210,1000,9310,2100,8980,2100
147703,2016,18120,18120,1400,10766,2454,10766,2454
147767,2016,50855,50855,1620,15489,2532,15489,2532
147776,2016,10138,18514,2400,11100,6489,6588,6489
147828,2016,33940,33940,1000,7900,2700,11660,1000
148131,2016,27128,27128,1250,10500,2150,8960,3400
148335,2016,25800,25800,1500,13875,3093,6111,4479
148405,2016,29180,29180,1200,8180,3460,7750,3900
148487,2016,28119,28119,1200,12927,4400,8600,7700
148496,2016,31720,31720,1200,9652,1340,16349,1800
148584,2016,30840,30840,800,9084,3000,7200,4120
148627,2016,32250,32250,1200,11060,1958,7206,3106
148654,2016,11413,20938,1200,9600,2700,.,.
149222,2016,13481,27130,1100,10186,2941,10186,2941
149231,2016,11008,11008,840,9211,2768,9211,2768
149329,2016,13500,13500,200,.,3800,11056,3800
149505,2016,27675,27675,1100,9580,2800,6570,3980
149514,2016,30130,30130,1200,9010,3020,10800,3020
149772,2016,12655,12655,900,9580,1910,9580,3570
149781,2016,34050,34050,800,9560,1900,9560,1900
150066,2016,28650,28650,1200,9550,2800,6000,2800
150136,2016,9654,25428,1320,9936,3030,9936,3030
150145,2016,27390,27390,1200,8470,2700,4000,3000
150163,2016,38360,38360,1000,12670,2550,12670,2550
150455,2016,45300,45300,1200,9570,1800,9570,1800
150534,2016,33966,33966,1200,11690,2114,10380,3424
150604,2016,30025,30025,1200,9355,2600,7500,3800
150668,2016,32200,32200,900,10300,1900,8500,1900
150677,2016,23670,23670,1000,8404,1000,8000,3200
150941,2016,25400,25400,1000,8456,2300,8650,1350
151102,2016,8213,19727,1400,9340,2726,9340,2726
151111,2016,9205,29791,1204,9430,2418,9430,3798
151263,2016,27420,27420,1250,9648,3210,6812,6512
151290,2016,26370,26370,0,9580,4033,7185,5116
151306,2016,7405,17647,1140,8532,2257,9920,2813
151324,2016,8746,19076,1170,9696,2308,9696,2308
151342,2016,7073,18683,1204,8746,2418,7170,3798
151351,2016,10388,34246,1290,10041,3090,10041,3090
151379,2016,7073,18683,1204,9296,2418,7170,3798
151777,2016,30802,30802,1000,9862,1488,6461,3342
151786,2016,31500,31500,1200,9720,3748,8222,3892
151801,2016,25346,25346,1380,8148,2078,7010,2692
152080,2016,49685,49685,1050,14358,1950,14358,1950
152099,2016,23400,23400,1400,9180,3415,6360,3415
152318,2016,46210,46210,1500,13293,1500,13293,1500
152336,2016,28310,28310,1200,9090,2500,7400,3000
152381,2016,28932,28932,1600,10700,3040,5350,3528
152390,2016,38880,38880,1000,11720,1300,7600,1700
152530,2016,31472,31472,1000,8845,2200,7076,2200
152567,2016,30960,30960,1300,10350,3000,6700,3000
152600,2016,37450,37450,1200,10920,1620,8900,1620
152992,2016,29786,29786,1339,8640,3215,8640,3215
153001,2016,32210,32210,999,9304,2275,6372,5495
153126,2016,30900,30900,1200,9200,3200,9200,3200
153250,2016,29130,29130,1140,8730,3500,9730,4500
153269,2016,35206,35206,1100,9850,3700,9850,3700
153278,2016,28700,28700,950,9060,900,9060,3790
153320,2016,16766,16766,1253,6800,3285,6800,3285
153366,2016,27010,27010,1190,8280,3290,8280,3290
153375,2016,25384,25384,816,8262,2770,8172,3484
153603,2016,8219,21583,995,8356,2430,8356,2430
153621,2016,23516,29146,1253,10054,3283,7967,3283
153658,2016,8575,28813,950,10108,2242,8588,3420
153825,2016,31525,31525,1100,7700,2011,7700,2011
153861,2016,27530,27530,1000,7400,3800,7400,3800
154004,2016,29094,29094,1253,9190,3285,10500,3285
154013,2016,29696,29696,1280,8900,3778,5440,6434
154095,2016,8309,18851,900,8629,2950,8629,2950
154101,2016,29500,29500,1300,8900,3200,8900,3200
154235,2016,29150,29150,1200,9869,3284,9470,5924
154350,2016,35876,35876,1253,7963,3356,7963,3956
154493,2016,28890,28890,1560,8120,2872,8120,2872
154518,2016,21260,21260,1254,7246,3340,6491,3173
154527,2016,38380,38380,1100,9460,1300,9460,1300
154590,2016,24510,24510,1206,6666,4122,5720,5068
154688,2016,28030,28030,1200,8970,4880,7970,4880
154712,2016,27480,27480,1200,9560,3990,7150,3990
155025,2016,6179,19392,1000,8392,3470,8392,3470
155061,2016,4884,14426,1080,7710,3836,7710,3836
155070,2016,15990,15990,1600,8400,3000,8400,3000
155089,2016,26865,26865,1500,7590,4422,7590,4422
155317,2016,11455,28239,1080,9610,3070,9610,3070
155335,2016,27556,27556,986,7674,3190,11169,3190
155399,2016,9874,24775,856,9150,3860,7662,3860
155511,2016,26498,26498,1420,8411,3336,7946,4120
155520,2016,28150,28150,1490,7900,2744,10881,3122
155627,2016,27096,27096,1100,9250,3638,9250,3638
155681,2016,6910,17662,1000,7572,3708,7025,4252
155812,2016,26650,26650,2547,7940,1906,5955,1906
155900,2016,27250,27250,1000,7250,5364,6296,6341
155937,2016,24250,24250,1200,8280,1600,9060,1600
155973,2016,26590,26590,1200,9280,4450,6750,9000
156082,2016,7754,17386,1000,7527,3581,10252,3581
156125,2016,7895,16634,1000,9878,3816,10575,3816
156213,2016,28630,28630,1240,6748,2770,5210,3260
156286,2016,39750,39750,792,11820,5432,11820,5432
156356,2016,21100,21100,1500,9050,1000,10500,1000
156365,2016,24596,24596,1100,7896,3800,4700,3800
156541,2016,23000,23000,1200,9000,5000,6750,5500
156620,2016,8868,18180,1000,8666,2800,8666,4600
156745,2016,35650,35650,1250,9050,2360,7962,4390
157058,2016,7754,18056,1300,6690,2916,6296,4464
157085,2016,11484,26334,1000,12184,3660,12184,3660
157100,2016,18560,18560,1200,8000,4742,8000,9620
157216,2016,23762,23762,1000,9120,5243,7674,5243
157289,2016,11264,26286,1200,8130,5432,7538,6478
157377,2016,23350,23350,1200,8400,6700,8400,6700
157386,2016,8496,12744,1440,8892,2450,9020,2732
157401,2016,8400,22680,1237,8588,3547,8588,3547
157447,2016,9384,18384,800,9526,2500,9514,5364
157535,2016,19600,19600,2500,9100,6500,9100,6500
157748,2016,17916,17916,1700,6400,1500,2460,1500
157757,2016,24388,24388,1260,7900,3564,10920,3564
157793,2016,19740,19740,1800,9810,4374,4746,5051
157809,2016,29450,29450,1240,7304,2718,6378,5432
157863,2016,25060,25060,1470,7325,3955,7325,3955
157951,2016,9912,24792,1000,7713,1897,7713,3307
158477,2016,35430,35430,1200,12980,2390,9000,3400
159009,2016,7371,16394,1749,10321,6276,10321,6871
159391,2016,10814,27491,1160,11540,5420,15772,5420
159568,2016,15978,15978,1220,5220,3332,9072,3918
159647,2016,9117,25851,1500,5925,2796,6516,4635
159656,2016,38754,38754,1224,12464,1968,12464,1968
159717,2016,7310,18385,1220,8014,3918,9074,3918
159939,2016,8484,22301,1220,9730,3334,9073,3919
159948,2016,7380,7380,750,4695,4500,8200,1250
159966,2016,7641,18572,1220,9276,3408,9074,3992
159993,2016,8284,20384,1220,7688,3334,9073,3919
160038,2016,8286,19074,1220,8684,3332,9072,3918
160065,2016,11632,11632,1220,.,.,9073,3919
160612,2016,7773,20251,1220,8464,3330,9072,3916
160621,2016,8080,15430,1220,8003,3386,9073,3971
160630,2016,6421,15322,1220,8780,3334,8780,3919
160658,2016,9450,23178,1220,9998,3334,9073,3919
160755,2016,51010,51010,1200,13844,2060,13844,2060
160904,2016,23046,23046,1220,9152,2003,9073,2003
160959,2016,43542,43542,600,9747,1080,.,.
161253,2016,10628,29498,1000,10164,2200,10164,2200
161299,2016,13078,26158,1000,10030,2900,10030,2900
161457,2016,35630,35630,1400,13250,2750,9700,3650
161509,2016,32922,32922,1250,11086,2100,8100,2100
161518,2016,33600,33600,1200,12890,1700,7200,2700
161554,2016,7796,18508,1200,9980,3000,9980,3000
161563,2016,25150,25150,800,10800,2000,6500,2600
161572,2016,27570,27570,500,10100,1310,5500,1310
162007,2016,7880,18416,2200,10200,1600,13114,1600
162061,2016,24272,24272,1300,7136,3000,11000,3400
162210,2016,23400,23400,1200,8930,1100,2226,1411
162283,2016,7438,13168,800,9752,3386,6498,3686
162584,2016,8702,21226,1400,9312,1806,6000,3706
162654,2016,43416,43416,1200,12300,2500,8000,2700
162760,2016,36540,36540,1200,12200,3100,11240,3100
162928,2016,50410,50410,1220,14976,1044,10255,1044
163046,2016,46430,46430,1250,13870,1550,7870,1670
163268,2016,11264,24492,1200,11568,2862,13700,3634
163286,2016,10181,32045,1200,12078,2604,13966,3932
163295,2016,45400,45400,1450,12450,1500,10170,1500
163338,2016,7804,17188,1500,9388,3500,9388,3500
163453,2016,7636,17504,2500,10490,3695,11876,4045
163462,2016,39000,39000,1300,12610,1400,7500,2300
163532,2016,11400,11400,250,6600,4000,13190,4100
163578,2016,35019,35019,1200,11446,1166,4770,2120
163851,2016,9364,17776,1300,11350,2700,11352,2700
163912,2016,14192,29340,1200,12442,1566,12442,1566
163976,2016,50353,50353,630,11888,750,11888,750
164076,2016,9408,21076,1080,11754,3094,11754,3094
164173,2016,33168,33168,1250,12702,2199,8240,2599
164270,2016,40580,40580,1200,10800,1320,6600,1970
164368,2016,36450,36450,540,18460,400,18000,400
164447,2016,33140,33140,1200,13490,1660,4630,3290
164492,2016,36110,36110,1000,13510,1000,6012,2000
164562,2016,36260,36260,1000,11660,1800,11660,1800
164580,2016,48288,48288,1050,15376,1850,15376,1850
164632,2016,32739,32739,1100,12610,1900,3500,2400
164720,2016,37272,37272,960,12850,3200,5842,6554
164739,2016,45760,45760,1260,15130,1200,15130,1200
164748,2016,41398,41398,474,18000,2170,13712,2170
164872,2016,20666,20666,1200,.,.,15246,3034
164924,2016,51296,51296,1250,13818,1700,10200,1700
164988,2016,50240,50240,1000,14870,1950,14870,1950
165015,2016,51570,51570,1000,14224,1500,11330,1500
165024,2016,9603,15743,800,12200,2800,12200,2800
165334,2016,43150,43150,800,8450,950,8450,1050
165529,2016,37835,37835,1150,14310,2000,8881,2422
165644,2016,30815,30815,1200,9140,2260,9140,2260
165662,2016,42908,42908,1150,16320,2137,15750,2137
165671,2016,37540,37540,880,14270,2496,14270,2496
165699,2016,31312,31312,1252,14500,2072,10970,2072
165802,2016,29640,29640,1800,15459,3200,10000,3200
165820,2016,10385,16465,1000,9670,1850,6280,2000
165866,2016,9920,16000,1000,11820,3410,11820,3410
165936,2016,36060,36060,800,10412,1400,10412,2000
166027,2016,47074,47074,1000,15951,4251,.,.
166054,2016,22490,22490,600,16192,2000,18500,2600
166391,2016,33600,33600,1000,13900,2500,8000,2500
166452,2016,25875,25875,1500,15300,2590,6725,1925
166513,2016,14307,30875,1200,12073,1422,5150,1922
166629,2016,14971,32204,1000,11897,1400,11897,1400
166638,2016,13435,32023,800,.,.,9200,2956
